year,GDP,Pop,Steel
1980,347420465,14709.91795,6271000
1981,358188872.2,14901.60989,6683000
1982,368749588,15109.659,5850000
1983,360991764.8,15332.78995,4811000
1984,379601300.4,15567.92694,6054000
1985,399582173.1,15812.08797,5740000
1986,417731196.4,16066.49597,5925000
1987,429187886.3,16330.36903,5441000
1988,453331010.4,16596.09589,6419000
1989,470383417.4,16853.69,6831000
1990,515317626,17042,5511000
1991,513320530.7,17272,5294000
1992,515592568.6,17486,5120000
1993,536417759.1,17688,5757000
1994,557759321.9,17883,6326000
1995,579117983.1,18077,6256000
1996,601579834.3,18272,6400000
1997,625441020.1,18468,6500000
1998,654065825.5,18665,6600000
1999,686887266.8,18864,6600000
2000,713972530.5,19066,6100000
2001,727774374.4,19269,6000000
2002,756907344.8,19475,6800000
2003,779506667.3,19697,7000000
2004,810695551.6,19949,7500000
2005,836559304.2,20239,7400000
2006,860269340,20573,7420000
2007,892764543.5,20947,8126000
2008,925419788.3,21343,8224000
2009,943213087.1,21739,5916000
2010,962576704.8,22120,7716000
2011,986170471.3,22480,6672000
2012,1024551635,22822,7152000
2013,1051594494,23151,6376000
2014,1078497831,23474,7142000
2015,1103854786,23800,6968000
2016,1135064189,24125,6478000
