year,GDP,Pop
2017,1157283926,24451
2018,1201142573,24772
2019,1245039044,25089
2020,1289224526,25398
2021,1333639686,25700
2022,1378646228,25996
2023,1424442629,26287
2024,1471205820,26573
2025,1519006309,26857
2026,1566859653,27139
2027,1615958599,27418
2028,1666222278,27693
2029,1717419964,27966
2030,1769393796,28234
2031,1821332122,28500
2032,1874054169,28760
2033,1927569372,29018
2034,1981931991,29273
2035,2037127705,29527
2036,2091895589,29777
2037,2147448007,30026
2038,2203751837,30273
2039,2260727484,30520
2040,2318290528,30764
2041,2375138639,31009
2042,2432794114,31253
2043,2491262884,31496
2044,2550592656,31739
2045,2610851825,31982
2046,2670775153,32225
2047,2731887132,32468
2048,2794170024,32710
2049,2857579294,32950
2050,2922072575,33187
